HOW_CcmuNumber,HOW_DateActive,HOW_DateInactive,HOW_IdNumber,HOW_ChangedBy,HOW_DateChanged
385237,02/01/2000 00:00:00,10/15/2005 00:00:00,407,gary,2000-01-28 00:00:00.000000
385237,10/16/2005 00:00:00,12/31/2999 00:00:00,1473,Admin,2005-10-17 00:00:00.000000
385238,12/15/1993 00:00:00,03/09/1999 00:00:00,110,,
385239,11/26/1993 00:00:00,08/31/1997 00:00:00,112,,
385239,09/01/1997 00:00:00,05/01/2007 00:00:00,111,,
385239,05/02/2007 00:00:00,12/31/2999 00:00:00,1737,Admin,2007-06-11 00:00:00.000000
385240,12/01/1993 00:00:00,12/31/2999 00:00:00,113,,
385241,11/03/1993 00:00:00,12/31/2999 00:00:00,114,,
385242,11/16/1993 00:00:00,06/05/2000 00:00:00,115,,
385242,06/06/2000 00:00:00,05/01/2007 00:00:00,433,CAROLYN,2000-06-06 00:00:00.000000
385242,05/02/2007 00:00:00,12/31/2999 00:00:00,1733,Admin,2007-06-11 00:00:00.000000
385243,11/26/1993 00:00:00,01/01/2000 00:00:00,116,,
385244,12/01/1989 00:00:00,12/31/2010 00:00:00,117,,
385244,01/01/2011 00:00:00,12/31/2999 00:00:00,2170,Admin,2011-01-01 00:00:00.000000
385245,07/15/1994 00:00:00,02/28/1997 00:00:00,119,,
385245,03/01/1997 00:00:00,12/31/2999 00:00:00,118,,
385246,06/17/1994 00:00:00,12/31/2999 00:00:00,120,,
385249,01/01/1999 00:00:00,12/31/2999 00:00:00,121,,
385250,11/15/1993 00:00:00,12/31/2999 00:00:00,122,,
385251,01/11/1994 00:00:00,12/31/2999 00:00:00,123,,
385252,07/08/1996 00:00:00,12/31/2000 00:00:00,4,,
385252,01/01/2001 00:00:00,12/31/2009 00:00:00,1407,carolyn,2001-01-12 00:00:00.000000
385252,01/01/2010 00:00:00,12/31/2999 00:00:00,2044,Admin,2010-09-23 00:00:00.000000
385253,11/17/1993 00:00:00,10/31/2009 00:00:00,124,,
385253,11/01/2009 00:00:00,12/31/2999 00:00:00,2018,Admin,2009-10-30 00:00:00.000000
385254,01/02/1997 00:00:00,12/31/2999 00:00:00,132,,
385256,11/17/1994 00:00:00,10/24/2000 00:00:00,4,,
385256,10/25/2000 00:00:00,08/03/2001 00:00:00,1407,carolyn,2001-01-03 00:00:00.000000
385257,11/13/1997 00:00:00,12/31/2999 00:00:00,125,,
385258,02/02/1998 00:00:00,12/31/2999 00:00:00,603,carolyn,2001-02-28 00:00:00.000000
385259,09/03/1999 00:00:00,12/31/1999 00:00:00,126,,
385259,01/01/2000 00:00:00,12/31/2999 00:00:00,402,carolyn,2001-03-08 00:00:00.000000
385260,01/01/2000 00:00:00,12/31/2999 00:00:00,442,carolyn,2001-01-24 00:00:00.000000
385261,08/17/2000 00:00:00,05/01/2004 00:00:00,33,,
385261,05/02/2004 00:00:00,03/31/2010 00:00:00,16,Brett,2004-04-30 00:00:00.000000
385261,04/01/2010 00:00:00,12/31/2999 00:00:00,2084,Admin,2010-04-19 00:00:00.000000
385262,11/24/1993 00:00:00,09/30/2002 00:00:00,139,,
385262,10/01/2002 00:00:00,12/31/2999 00:00:00,442,carolyn,2002-09-30 00:00:00.000000
385263,01/24/2002 00:00:00,07/31/2007 00:00:00,41,,
385263,08/01/2007 00:00:00,12/31/2999 00:00:00,1752,Admin,2007-07-27 00:00:00.000000
385264,10/31/2001 00:00:00,05/20/2004 00:00:00,127,,
385264,05/21/2004 00:00:00,07/31/2007 00:00:00,1302,Carolyn,2004-10-06 00:00:00.000000
385264,08/01/2007 00:00:00,06/30/2016 00:00:00,1753,Admin,2007-07-31 00:00:00.000000
385264,07/01/2016 00:00:00,12/31/2999 00:00:00,3003,Admin,2016-08-15 00:00:00.000000
385265,08/13/2002 00:00:00,12/31/2999 00:00:00,559,,
385266,06/06/2003 00:00:00,03/31/2013 00:00:00,442,,
385266,04/01/2013 00:00:00,12/31/2999 00:00:00,2496,Admin,2013-04-01 00:00:00.000000
385267,06/06/2003 00:00:00,08/04/2005 00:00:00,146,,
385268,09/02/2003 00:00:00,12/31/2014 00:00:00,655,,
385268,01/01/2015 00:00:00,12/31/2999 00:00:00,2825,Admin,2014-12-30 00:00:00.000000
385270,11/16/2005 00:00:00,10/30/2015 00:00:00,149,,
385270,10/31/2015 00:00:00,12/31/2999 00:00:00,2921,Admin,2015-10-30 00:00:00.000000
385271,01/26/2006 00:00:00,12/31/2999 00:00:00,1492,,
385272,06/02/2006 00:00:00,12/31/2999 00:00:00,1574,Brett,2006-08-14 00:00:00.000000
385273,10/27/1993 00:00:00,12/31/2999 00:00:00,156,,
385275,11/09/1993 00:00:00,12/31/2999 00:00:00,1386,Admin,2012-08-16 00:00:00.000000
38A001,11/15/1993 00:00:00,11/19/2001 00:00:00,4,,
